logit_fp,r_forest_fp,svm_linear_fp,svm_poly_fp,svm_svmRadialCost_fp
1,6,1,6,6
2,57,2,15,15
8,100,8,94,94
10,130,10,115,115
46,141,46,130,130
57,150,57,136,141
88,183,58,141,150
100,453,88,150,182
114,526,114,182,183
130,534,130,183,185
150,542,150,185,192
182,570,182,445,449
183,573,249,449,453
185,580,252,452,522
239,,254,453,525
249,,301,522,526
252,,302,525,529
254,,368,526,531
301,,407,529,534
407,,453,530,542
423,,501,531,546
449,,503,532,566
453,,516,534,568
501,,518,542,570
503,,526,546,580
516,,531,560,582
518,,542,562,592
526,,547,566,655
531,,566,568,913
542,,573,570,
547,,580,579,
573,,655,580,
580,,910,582,
592,,912,592,
655,,913,912,
910,,,913,
912,,,,
913,,,,
