"rowNum","PC1","PC2"
1,-0.44416598452875,3.38138995541523
2,-0.349215728439582,2.50808632376026
8,-0.431557942477473,3.21271179669906
10,-0.169557028835213,2.77768238510695
46,-1.00265922989071,1.36327998912266
57,-0.86811345736131,-1.36310603910317
88,-1.23537964469654,-1.04759978117121
100,-1.17693854910555,-1.16105118723852
114,-1.55587061126207,-0.253954535831921
130,-1.129612619124,1.37617207967843
150,-1.46666364704601,-0.526091206990629
182,6.29053939353949,0.0899536560876925
183,-2.89298249651878,-0.0439569821678516
185,-2.89298249651878,-0.0439569821678516
239,-0.0474376444952994,-1.51153269629075
249,-1.21565196510162,-1.54555249704345
252,-3.87011456198997,-1.35895340196576
254,-2.43889028272588,-1.14271806494666
301,0.287357785829913,-0.282560927022016
407,-0.260188550940272,-0.529133301957346
423,0.0691724278310195,-0.590825592670265
449,-0.110621797706103,-0.277461629968955
453,-0.027547997762145,-0.655912915337645
501,-2.78649804133517,-1.05148314984784
503,-1.22095572203951,-0.909590054172893
516,-0.707060831917679,-0.0178973824220223
518,-0.194776935596401,-0.422251068815036
526,-1.11860833503241,-1.03393818668639
531,-0.954500679869368,-1.2102208300516
542,0.396751250387771,-1.06855627022089
547,-1.92444778379424,-1.44385411315636
573,-1.46572634287747,-0.873380620928974
580,-0.0946949891978704,-0.636929866230953
592,0.419085089422097,-0.651840712204102
655,-0.64723002237831,-1.09981876291754
910,-1.84515094233934,-2.29340296997079
912,-2.02324609979197,-2.8320262032047
913,-2.01355264008293,-2.6224947982294
980,-2.23128776656085,-3.12740384726657
1032,-1.93793533513353,-2.90325466501926
1033,-1.83997409716513,-2.48430605094555
1034,-1.94626000255818,-3.20944866324656
1035,-1.58191711183211,-3.02773625337174
1041,-2.19069330189336,-3.10237838367082
1067,-2.23128776656085,-3.12740384726657
1069,-1.88968766586909,-3.22044889607277
1092,-0.280633172815358,-0.486090993098076
1093,-1.166227915721,-0.317967463223321
1094,-1.05997139347677,-0.061685378292816
1099,-0.175340294436781,-0.725859076828577
1100,-0.149930976678202,-0.604834681628882
1101,-1.16920948039243,-0.288609311123554
1117,-2.39974397500803,-0.6910402767441
1121,-2.99258697874598,-1.6373364231281
1128,-2.2135560142937,-0.96158419735283
1130,-2.92019134924935,-1.21379616129161
1135,-3.01210349905187,-1.01411722978557
1140,-2.27954333340214,-0.817280241802092
1141,0.764099065169487,-1.40831914201764
1142,0.655887242295324,-1.22145997054427
1144,-0.382611263038165,-0.31315573143493
1145,-0.674683017516904,-0.155340034843905
1147,-0.375867723085841,-0.277070273217627
1149,-0.470642380580103,-0.472715728367597
1150,-0.425620830137647,-0.511653468791932
1152,-0.574036374748831,-0.0184402373537635
1190,-1.09932102868081,-0.10283152805128
1219,-0.0724377388604289,3.25965614180812
1222,-0.249390911270134,0.947599413527421
1226,-0.110863796516617,2.78030233747928
1233,0.0267463052906153,3.00897464835247
1234,-0.142656450963546,2.76243043361856
1264,0.0124932889869904,2.83930021743359
1279,-0.869178730763868,2.34390412211452
1281,-0.803327981811447,2.10237764132728
1282,-0.196372601700406,2.23388736109081
1283,-0.550593844266556,0.212055535045975
1300,0.0906036463862086,3.20363194834659
1471,0.0994764690223676,2.70643715103217
1482,0.475891285688795,2.2169016086752
1484,0.585301502617723,3.47955138402878
1510,0.138408058286803,2.83171089070311
1522,0.210033080839378,-0.985319076170692
1574,6.20809450630779,-0.19007242923311
1575,-0.173231476494452,2.22376077455021
1576,6.67351588538598,-2.28996712089314
1579,1.96186988304336,1.58543297743354
1585,7.24918299224747,-1.29583940016765
1588,7.24918299224747,-1.29583940016765
1589,-0.342218004376118,2.68244536139936
1594,-0.0690713375136814,-0.375728171357582
1600,7.24918299224747,-1.29583940016765
1618,-1.08321189085833,2.05426903852158
1620,0.588471145794104,0.379249083922389
1622,-0.70234234532797,0.756287855408339
1623,7.24918299224747,-1.29583940016765
1693,7.24918299224747,-1.29583940016765
1723,0.283560462101956,2.68578850971377
1780,5.54315176666196,-1.99257681880242
1828,0.155419851154588,0.25832614350134
1829,1.68869692882745,2.08008707466779
1830,-0.39975362030513,3.93527080995964
1832,7.24918299224747,-1.29583940016765
1833,1.57217180154126,2.24278481016584
1844,0.384044689323856,2.47126261159217
1845,4.99469546852447,-1.98992655199322
1846,6.07939715395567,-1.40676329940588
1847,0.384044689323856,2.47126261159217
1848,-0.794871956569069,2.10275825697746
1849,0.384044689323856,2.47126261159217
1850,2.37129370376686,2.26625864465671
1852,5.59778599084307,-2.09801086894078
1853,7.24918299224747,-1.29583940016765
1858,-0.560030656943171,1.09015095854127
1863,3.79023182463098,2.41545365939644
1869,-0.35849466283956,-0.125008887158731
1872,-1.20740260550867,1.29201761248454
1873,5.66659836819126,-0.89097394463518
